Date,Ethereum Hashrate,Ethereum Mining Prob,Ethereum No. of Transactions,Ethereum Avg. Transaction Fee
2017-08-28,32.15895744578339,-2.624168717121508,12.804013140930039,-1.1841701770297564
2017-08-29,32.228370377579324,-2.5942751868433653,12.885752041242549,-0.7486598904902041
2017-08-30,32.23288142554836,-2.5523293261054345,12.899769674895554,-0.8867319296326107
2017-08-31,32.21545544558947,-2.4901202168408876,12.85949358517921,-0.2997546536860502
2017-09-01,32.22578976744553,-2.50715225873532,12.876455166303797,-0.657780036722654
2017-09-02,32.22487411798864,-2.6009911288088023,12.712278615106285,-0.40346710544549125
2017-09-03,32.22044761701242,-2.6578324849415926,12.619919197666253,-1.0642108619507773
2017-09-04,32.236117205619855,-2.7241795830320936,13.000403631424435,-1.0469690555162714
2017-09-05,32.24082573817286,-2.761450977829325,13.004867300571323,-0.8675005677047231
2017-09-06,32.232038707899,-2.631089159966082,13.115088983037417,-0.657780036722654
2017-09-07,32.253604317485134,-2.6621212692138103,13.013322765156737,-0.6051363032372319
2017-09-08,32.30119684046891,-2.7045563118479543,13.046928371284238,-0.6424540662444271
2017-09-09,32.2759559164153,-2.8150787738607335,12.857496383721145,-1.05268335677971
2017-09-10,32.260667708750084,-2.8067661740413676,12.691974229928682,-0.9808292530117262
2017-09-11,32.26086031586453,-2.8302178350764176,12.808704134337342,-1.1363141558521213
2017-09-12,32.313770670960324,-2.83702058239917,12.91139046251682,-0.941608539858445
2017-09-13,32.27101109185589,-2.91139112512024,12.809511178370515,-1.0469690555162714
2017-09-14,32.290599542678144,-2.99974029495153,12.848586839966865,-1.2909841813155656
2017-09-15,32.32454990655213,-3.0386397745652673,12.998537872746516,-1.0671136216087387
2017-09-16,32.30545284162524,-2.9778923554256598,12.831379861179473,-0.7830718880879323
2017-09-17,32.31345004956249,-3.024131748075689,12.575969296205491,-1.1239300966523995
2017-09-18,32.29264479739458,-2.8629511623201727,12.801507764074755,-1.1363141558521213
2017-09-19,32.319004997472895,-2.9040650850281673,12.730067177344514,-1.1147416705979933
2017-09-20,32.307733845586704,-2.893175685228899,12.691531229330769,-0.5447271754416722
2017-09-21,32.32571374275579,-2.96423360649462,12.666890464102698,-1.2552660987134867
2017-09-22,32.31682088875257,-3.2064533048696435,12.511606915013289,-1.2140231401794375
2017-09-23,32.274813840865164,-3.167707538293801,12.468848363800477,-1.0966142860054366
2017-09-24,32.3012915345909,-3.116770601931047,12.545857247350538,-0.8051966843685682
2017-09-25,32.25144615653713,-3.083471187861998,12.633344906477825,-1.0106014113453965
2017-09-26,32.26559974551042,-3.0704558197499274,12.631585448942117,-0.9969586349416099
2017-09-27,32.291302724391905,-3.0661547378505367,12.64124864787318,-0.9014021193804044
2017-09-28,32.25466819849192,-3.03032371832361,12.704445048826353,-1.0700248318161971
2017-09-29,32.213363932033246,-3.0470255679415414,12.696191353254134,-1.2140231401794375
2017-09-30,32.20829486721476,-3.0057826094074924,12.59743206791076,-0.9702190738997107
